Account name,Campaign,Campaign type,Day,Currency code,Budget,Cost,Impr.,Clicks
BSSAA Limited,PCM - Search - General Product,Search,15/08/2024,GBP,10,0.7,27,2
BSSAA Limited,PCM - Search - Oral Solutions,Search,15/08/2024,GBP,14,5.35,79,7
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,15/08/2024,GBP,15.3,16.78,"11,622",58
BSSAA Limited,PCM - Search - General Brand,Search,16/08/2024,GBP,36,20.75,208,26
BSSAA Limited,PCM - Search - General Product,Search,16/08/2024,GBP,10,1.84,26,2
BSSAA Limited,PCM - Search - Oral Solutions,Search,16/08/2024,GBP,14,11.84,59,12
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,16/08/2024,GBP,15.3,14.24,"14,046",86
BSSAA Limited,PCM - Search - General Brand,Search,17/08/2024,GBP,36,20.6,153,28
BSSAA Limited,PCM - Search - General Product,Search,17/08/2024,GBP,10,3.48,34,6
BSSAA Limited,PCM - Search - Oral Solutions,Search,17/08/2024,GBP,14,8.43,63,11
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,17/08/2024,GBP,15.3,15.26,"19,625",77
BSSAA Limited,PCM - Search - General Brand,Search,18/08/2024,GBP,36,21.36,266,36
BSSAA Limited,PCM - Search - General Product,Search,18/08/2024,GBP,10,1.53,26,3
BSSAA Limited,PCM - Search - Oral Solutions,Search,18/08/2024,GBP,14,14.39,77,10
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,18/08/2024,GBP,15.3,14.62,"13,013",63
BSSAA Limited,PCM - Search - General Brand,Search,19/08/2024,GBP,36,20.47,196,31
BSSAA Limited,PCM - Search - General Product,Search,19/08/2024,GBP,10,4.2,39,5
BSSAA Limited,PCM - Search - Oral Solutions,Search,19/08/2024,GBP,14,8.53,84,7
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,19/08/2024,GBP,15.3,14.6,"30,245",96
BSSAA Limited,PCM - Search - General Brand,Search,20/08/2024,GBP,36,23.15,224,29
BSSAA Limited,PCM - Search - General Product,Search,20/08/2024,GBP,10,5.45,40,7
BSSAA Limited,PCM - Search - Oral Solutions,Search,20/08/2024,GBP,14,7.48,108,12
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,20/08/2024,GBP,15.3,14.87,"20,138",80
BSSAA Limited,PCM - Search - General Brand,Search,21/08/2024,GBP,36,19.67,229,37
BSSAA Limited,PCM - Search - General Product,Search,21/08/2024,GBP,10,2.45,33,5
BSSAA Limited,PCM - Search - Oral Solutions,Search,21/08/2024,GBP,14,5.3,72,5
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,21/08/2024,GBP,15.3,12.88,"11,120",53
BSSAA Limited,PCM - Search - General Brand,Search,22/08/2024,GBP,36,29.34,189,43
BSSAA Limited,PCM - Search - General Product,Search,22/08/2024,GBP,10,0.36,32,1
BSSAA Limited,PCM - Search - Oral Solutions,Search,22/08/2024,GBP,14,20.49,73,15
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,22/08/2024,GBP,15.3,14.33,"11,601",58
BSSAA Limited,PCM - Search - General Brand,Search,23/08/2024,GBP,36,27.28,246,38
BSSAA Limited,PCM - Search - General Product,Search,23/08/2024,GBP,10,1.04,25,2
BSSAA Limited,PCM - Search - Oral Solutions,Search,23/08/2024,GBP,14,8.1,57,7
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,23/08/2024,GBP,15.3,15.07,"21,479",72
BSSAA Limited,PCM - Search - General Brand,Search,24/08/2024,GBP,36,12.05,196,23
BSSAA Limited,PCM - Search - General Product,Search,24/08/2024,GBP,10,4.47,33,3
BSSAA Limited,PCM - Search - Oral Solutions,Search,24/08/2024,GBP,14,10.72,76,14
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,24/08/2024,GBP,15.3,13.93,"15,071",54
BSSAA Limited,PCM - Search - General Brand,Search,25/08/2024,GBP,36,23.58,232,33
BSSAA Limited,PCM - Search - General Product,Search,25/08/2024,GBP,10,0.82,29,1
BSSAA Limited,PCM - Search - Oral Solutions,Search,25/08/2024,GBP,14,16.34,88,14
