Campaign status,Campaign,Budget name,Currency code,Budget,Budget type,Status,Status reasons,Campaign group,Campaign type,Cost,Impr.,Clicks
Enabled,_bgl_bb_uk_search_cpc_traffic_aug_2024_, --,GBP,38,Daily,Eligible (Limited),limited by budget; unknown, --,Search,195.63,4973,528
Enabled,_bgl_collagen_uk_search_cpc_traffic_aug_2024_, --,GBP,48,Daily,Eligible (Limited),limited by budget; unknown, --,Search,268.44,7040,785
Enabled,_bgl_bb_uk_video_cpm_traffic_aug_2024_, --,GBP,25.8,Daily,Eligible (Limited),limited by budget; unknown, --,Video,140.72,46585,83
Enabled,_bgl_bb_uk_display_cpc_traffic_aug_2024_, --,GBP,19.35,Daily,Eligible,some ads disapproved, --,Display,132.32,495334,3594
Enabled,_bgl_collagen_uk_video_cpm_traffic_aug_2024_, --,GBP,38.7,Daily,Eligible (Limited),limited by budget; unknown, --,Video,210.84,38762,54
Enabled,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_, --,GBP,34.48,Daily,Eligible,unknown, --,Search,0,0,0
Enabled,_bgl_collagen_uk_display_cpc_traffic_aug_2024_, --,GBP,41.93,Daily,Eligible,unknown, --,Display,210.26,987859,5621
Enabled,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_, --,GBP,27.58,Daily,Eligible (Learning),bidding strategy learning; unknown, --,Display,0,0,0
