Campaign status,Campaign,Budget name,Currency code,Budget,Budget type,Status,Status reasons,Campaign group,Campaign type,Cost,Impr.,Clicks
Enabled,_bgl_collagen_uk_video_cpm_traffic_aug_2024_, --,GBP,40,Daily,Eligible (Limited),limited by budget; unknown, --,Video,305.49,"53,225",102
Enabled,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_, --,GBP,34.48,Daily,Eligible (Learning),bidding strategy learning; unknown, --,Search,0,0,0
Enabled,_bgl_collagen_uk_display_cpc_traffic_aug_2024_, --,GBP,43.33,Daily,Eligible,unknown, --,Display,415.06,"1,678,582","9,384"
Enabled,_bgl_collagen_uk_search_cpc_traffic_aug_2024_, --,GBP,50,Daily,Eligible (Learning),bidding strategy learning; unknown, --,Search,383.63,"9,216","1,030"
Enabled,_bgl_bb_uk_video_cpm_traffic_aug_2024_, --,GBP,26.66,Daily,Eligible (Limited),limited by budget; unknown, --,Video,206.23,"95,501",75
Enabled,_bgl_bb_uk_display_cpc_traffic_aug_2024_, --,GBP,20,Daily,Eligible,some ads disapproved, --,Display,166.36,"664,115","4,076"
Enabled,_bgl_bb_uk_search_cpc_traffic_aug_2024_, --,GBP,40,Daily,Eligible,unknown, --,Search,317.46,"6,485",769
Enabled,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_, --,GBP,27.58,Daily,Eligible (Learning),bidding strategy learning; unknown, --,Display,0,0,0
