Campaign,Campaign type,Day,Currency code,Cost,Impr.,Clicks
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,23/08/2024,GBP,34.03,930,88
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,24/08/2024,GBP,38.72,923,98
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,25/08/2024,GBP,34.38,725,89
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,26/08/2024,GBP,34.43,813,92
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,27/08/2024,GBP,34.86,810,91
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,28/08/2024,GBP,33.15,"1,047",89
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,29/08/2024,GBP,32.87,867,90
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,30/08/2024,GBP,34.04,769,93
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,31/08/2024,GBP,26.28,667,73
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,01/08/2024,GBP,25.25,"13,615",5
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,02/08/2024,GBP,26.51,"14,658",0
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,03/08/2024,GBP,26.48,"15,688",2
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,04/08/2024,GBP,26.29,"16,153",3
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,05/08/2024,GBP,26.47,"16,146",3
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,06/08/2024,GBP,26.33,"15,596",2
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,07/08/2024,GBP,26.16,"15,509",2
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,08/08/2024,GBP,26.34,"15,411",4
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,09/08/2024,GBP,26.32,"14,821",3
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,10/08/2024,GBP,26.11,"13,933",2
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,11/08/2024,GBP,25.83,"14,798",0
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,12/08/2024,GBP,25.97,"14,869",5
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,13/08/2024,GBP,25.93,"14,528",2
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,14/08/2024,GBP,26.04,"16,279",15
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,15/08/2024,GBP,25.82,"9,800",13
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,16/08/2024,GBP,25.61,"8,689",9
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,17/08/2024,GBP,25.62,"8,057",19
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,18/08/2024,GBP,25.4,"8,481",12
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,19/08/2024,GBP,24.96,"8,808",22
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,20/08/2024,GBP,25.95,"9,498",22
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,21/08/2024,GBP,25.18,"6,309",16
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,22/08/2024,GBP,25.1,"5,996",9
