Account name,Campaign,Campaign type,Day,Budget,Cost,Impr.,Clicks
Bioglan,_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,05/09/2024,50,52.99,"1,482",135
Bioglan,_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,05/09/2024,40,39.83,"6,834",12
Bioglan,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,05/09/2024,27.58,0,1,0
Bioglan,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,05/09/2024,34.48,68.95,"1,404",196
Sambucol,_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,05/09/2024,88,177.72,"1,282",162
Sambucol,_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,05/09/2024,88,92.82,"31,885",39
Skin Doctors - PCM,NEW: PCM- VA+CC - 2024-25,Display,05/09/2024,22,0.83,"1,175",19
Skin Doctors - PCM,PCM_Depilatories_24-25,Display,05/09/2024,30,2.36,"1,336",49
Bioglan,_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,06/09/2024,20,40.11,"163,474",483
Bioglan,_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,06/09/2024,40,37.56,903,99
Bioglan,_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,06/09/2024,26.66,27.9,"8,936",17
Bioglan,_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,06/09/2024,43.33,83.73,"385,899","1,151"
Bioglan,_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,06/09/2024,50,47.71,"1,224",127
Bioglan,_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,06/09/2024,40,42,"6,792",11
Bioglan,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,06/09/2024,27.58,0.07,89,1
Bioglan,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,06/09/2024,34.48,37.64,746,130
Sambucol,_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,06/09/2024,88,176,"1,320",179
Sambucol,_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,06/09/2024,88,93.08,"30,861",43
Skin Doctors - PCM,NEW: PCM- VA+CC - 2024-25,Display,06/09/2024,22,41.33,"43,876",577
Skin Doctors - PCM,PCM_Depilatories_24-25,Display,06/09/2024,30,59.44,"41,728",843
Bioglan,_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,07/09/2024,20,22.43,"74,387",387
Bioglan,_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,07/09/2024,40,38.34,991,103
Bioglan,_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,07/09/2024,26.66,27.99,"7,577",25
Bioglan,_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,07/09/2024,43.33,48.09,"193,576",527
Bioglan,_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,07/09/2024,50,50.61,"1,322",135
