Account name,Campaign,Campaign type,Day,Budget,Cost,Impr.,Clicks
Cherry Godfrey Group,IOW Mortgages,Display,03/09/2024,2,2.7,"5,177",34
Cherry Godfrey Group,Jersey LInsurance 2022,Display,03/09/2024,2,5.31,"29,025",111
Cherry Godfrey Group,Mortgages Guernsey 2022,Display,03/09/2024,2,5.26,"29,684",94
Cherry Godfrey Group,Mortgages Isle of Man 2022,Display,03/09/2024,2,5.25,"24,039",194
Cherry Godfrey Group,Mortgages Jersey 2022,Display,03/09/2024,5,5.29,"28,973",133
Promensil,PCM - Search - Promensil - Consideration - 24-25,Search,03/09/2024,16,17.81,759,60
Cherry Godfrey Group,[D] GSY - PLoans,Display,04/09/2024,5,4.87,"38,489",55
Cherry Godfrey Group,[D] IOM - PLoans,Display,04/09/2024,5,6.02,"44,426",105
Cherry Godfrey Group,[D] IOW - PLoans,Display,04/09/2024,5,5.3,"18,366",64
Cherry Godfrey Group,[D] Jsy - PLoans,Display,04/09/2024,5,5.28,"36,249",102
Cherry Godfrey Group,[S] IOM - PLoans,Search,04/09/2024,5,6.21,70,13
Cherry Godfrey Group,[S] Jsy - PLoans,Search,04/09/2024,5,3.92,87,6
Cherry Godfrey Group,Guernsey HInsurance 2022,Display,04/09/2024,2,5.61,"7,820",77
Cherry Godfrey Group,Guernsey LInsurance 2022,Display,04/09/2024,2,4.97,"16,287",117
Cherry Godfrey Group,IOM LInsurance 2022,Display,04/09/2024,2,6.94,"37,189",125
Cherry Godfrey Group,IOW House Insurance,Display,04/09/2024,2,5.68,"37,653",67
Cherry Godfrey Group,IOW Life Insurance,Display,04/09/2024,2,7.75,"30,400",64
Cherry Godfrey Group,IOW Mortgages,Display,04/09/2024,2,7.63,"35,706",48
Cherry Godfrey Group,Jersey LInsurance 2022,Display,04/09/2024,2,4.65,"27,163",137
Cherry Godfrey Group,Mortgages Guernsey 2022,Display,04/09/2024,2,5.48,"23,361",121
Cherry Godfrey Group,Mortgages Isle of Man 2022,Display,04/09/2024,2,5.24,"18,186",191
Cherry Godfrey Group,Mortgages Jersey 2022,Display,04/09/2024,5,5.05,"21,435",135
Promensil,PCM - Search - Promensil - Consideration - 24-25,Search,04/09/2024,16,17.89,561,59
Cherry Godfrey Group,[D] GSY - PLoans,Display,05/09/2024,5,5.2,"36,358",53
Cherry Godfrey Group,[D] IOM - PLoans,Display,05/09/2024,5,5.01,"30,205",101
Cherry Godfrey Group,[D] IOW - PLoans,Display,05/09/2024,5,4,"11,940",51
Cherry Godfrey Group,[D] Jsy - PLoans,Display,05/09/2024,5,5.59,"41,657",74
Cherry Godfrey Group,[S] IOM - PLoans,Search,05/09/2024,5,2.58,90,5
Cherry Godfrey Group,[S] Jsy - PLoans,Search,05/09/2024,5,4.33,81,10
Cherry Godfrey Group,Guernsey HInsurance 2022,Display,05/09/2024,2,5.21,"11,720",77
Cherry Godfrey Group,Guernsey LInsurance 2022,Display,05/09/2024,2,5.11,"26,525",82
Cherry Godfrey Group,IOM LInsurance 2022,Display,05/09/2024,2,5.34,"27,188",131
Cherry Godfrey Group,IOW House Insurance,Display,05/09/2024,2,3.74,"25,499",53
Cherry Godfrey Group,IOW Life Insurance,Display,05/09/2024,2,5.75,"28,610",43
Cherry Godfrey Group,IOW Mortgages,Display,05/09/2024,2,5.76,"25,819",57
Cherry Godfrey Group,Jersey LInsurance 2022,Display,05/09/2024,2,5.81,"24,062",144
Cherry Godfrey Group,Mortgages Guernsey 2022,Display,05/09/2024,2,4.35,"21,927",100
Cherry Godfrey Group,Mortgages Isle of Man 2022,Display,05/09/2024,2,5.07,"15,212",199
Cherry Godfrey Group,Mortgages Jersey 2022,Display,05/09/2024,5,5.43,"21,056",126
Promensil,PCM - Search - Promensil - Consideration - 24-25,Search,05/09/2024,16,18.01,659,59
Cherry Godfrey Group,[D] GSY - PLoans,Display,06/09/2024,5,5.08,"26,527",50
Cherry Godfrey Group,[D] IOM - PLoans,Display,06/09/2024,5,4.96,"32,094",108
Cherry Godfrey Group,[D] IOW - PLoans,Display,06/09/2024,5,5.02,"19,327",45
Cherry Godfrey Group,[D] Jsy - PLoans,Display,06/09/2024,5,5.23,"26,721",88
Cherry Godfrey Group,[S] IOM - PLoans,Search,06/09/2024,5,2.39,79,7
Cherry Godfrey Group,[S] Jsy - PLoans,Search,06/09/2024,5,1.79,57,3
Cherry Godfrey Group,Guernsey HInsurance 2022,Display,06/09/2024,2,2.11,"4,677",31
Cherry Godfrey Group,Guernsey LInsurance 2022,Display,06/09/2024,2,2.05,"7,444",37
Cherry Godfrey Group,IOM LInsurance 2022,Display,06/09/2024,2,1.97,"12,859",65
Cherry Godfrey Group,IOW House Insurance,Display,06/09/2024,2,6.01,"26,320",49
Cherry Godfrey Group,IOW Life Insurance,Display,06/09/2024,2,3.77,"11,596",39
Cherry Godfrey Group,IOW Mortgages,Display,06/09/2024,2,2.11,"9,992",20
Cherry Godfrey Group,Jersey LInsurance 2022,Display,06/09/2024,2,2.05,"8,482",43
Cherry Godfrey Group,Mortgages Guernsey 2022,Display,06/09/2024,2,5.75,"18,340",80
Cherry Godfrey Group,Mortgages Isle of Man 2022,Display,06/09/2024,2,2.17,"7,879",76
Cherry Godfrey Group,Mortgages Jersey 2022,Display,06/09/2024,5,5.11,"19,723",139
Promensil,PCM - Search - Promensil - Consideration - 24-25,Search,06/09/2024,16,15.68,656,51
Cherry Godfrey Group,[D] GSY - PLoans,Display,07/09/2024,5,5.09,"28,559",62
Cherry Godfrey Group,[D] IOM - PLoans,Display,07/09/2024,5,5.14,"26,131",119
Cherry Godfrey Group,[D] IOW - PLoans,Display,07/09/2024,5,5.36,"30,121",72
Cherry Godfrey Group,[D] Jsy - PLoans,Display,07/09/2024,5,5.14,"35,686",91
Cherry Godfrey Group,[S] IOM - PLoans,Search,07/09/2024,5,3.56,66,7
Cherry Godfrey Group,[S] Jsy - PLoans,Search,07/09/2024,5,6.3,69,8
Cherry Godfrey Group,Guernsey HInsurance 2022,Display,07/09/2024,2,2.1,"7,221",42
Cherry Godfrey Group,Guernsey LInsurance 2022,Display,07/09/2024,2,1.27,"5,230",50
Cherry Godfrey Group,IOM LInsurance 2022,Display,07/09/2024,2,2.18,"12,414",89
Cherry Godfrey Group,IOW House Insurance,Display,07/09/2024,2,2.17,"13,243",11
Cherry Godfrey Group,IOW Life Insurance,Display,07/09/2024,2,2.38,"12,989",26
Cherry Godfrey Group,IOW Mortgages,Display,07/09/2024,2,2.06,"9,221",26
Cherry Godfrey Group,Jersey LInsurance 2022,Display,07/09/2024,2,2.16,"12,765",75
Cherry Godfrey Group,Mortgages Guernsey 2022,Display,07/09/2024,2,2.14,"11,652",43
Cherry Godfrey Group,Mortgages Isle of Man 2022,Display,07/09/2024,2,2.21,"8,374",79
Cherry Godfrey Group,Mortgages Jersey 2022,Display,07/09/2024,5,4.55,"17,639",161
Promensil,PCM - Search - Promensil - Consideration - 24-25,Search,07/09/2024,16,16.33,608,55
Cherry Godfrey Group,[D] GSY - PLoans,Display,08/09/2024,5,5.46,"37,094",69
Cherry Godfrey Group,[D] IOM - PLoans,Display,08/09/2024,5,5.47,"26,795",135
Cherry Godfrey Group,[D] IOW - PLoans,Display,08/09/2024,5,5.29,"19,590",64
Cherry Godfrey Group,[D] Jsy - PLoans,Display,08/09/2024,5,5.46,"30,409",110
Cherry Godfrey Group,[S] IOM - PLoans,Search,08/09/2024,5,6.86,76,12
Cherry Godfrey Group,[S] Jsy - PLoans,Search,08/09/2024,5,8.2,45,7
Cherry Godfrey Group,Guernsey HInsurance 2022,Display,08/09/2024,2,2.09,"9,838",40
Cherry Godfrey Group,Guernsey LInsurance 2022,Display,08/09/2024,2,3.02,"15,616",53
Cherry Godfrey Group,IOM LInsurance 2022,Display,08/09/2024,2,2.17,"16,939",83
Cherry Godfrey Group,IOW House Insurance,Display,08/09/2024,2,2.05,"13,119",23
Cherry Godfrey Group,IOW Life Insurance,Display,08/09/2024,2,2.14,"15,600",30
Cherry Godfrey Group,IOW Mortgages,Display,08/09/2024,2,2.23,"12,611",23
Cherry Godfrey Group,Jersey LInsurance 2022,Display,08/09/2024,2,2.09,"11,037",66
Cherry Godfrey Group,Mortgages Guernsey 2022,Display,08/09/2024,2,2.05,"8,231",73
Cherry Godfrey Group,Mortgages Isle of Man 2022,Display,08/09/2024,2,2.27,"13,343",99
Cherry Godfrey Group,Mortgages Jersey 2022,Display,08/09/2024,5,6,"30,610",168
Promensil,PCM - Search - Promensil - Consideration - 24-25,Search,08/09/2024,16,14.02,690,48
