Campaign status,Campaign,Budget name,Currency code,Budget,Budget type,Status,Status reasons,Campaign group,Campaign type,Cost,Impr.,Clicks
Enabled,NEW: PCM- VA+CC - 2024-25, --,GBP,22,Daily,Eligible,unknown, --,Display,148.28,"43,185","3,424"
Enabled,PCM_Depilatories_24-25, --,GBP,30,Daily,Eligible (Learning),bidding strategy learning; some ads disapproved, --,Display,165.82,"146,386","3,536"
