Campaign status,Campaign,Budget name,Currency code,Budget,Budget type,Status,Status reasons,Campaign group,Campaign type,Cost,Impr.,Clicks
Enabled,NEW: PCM- VA+CC - 2024-25, --,GBP,22,Daily,Eligible,unknown, --,Display,74.39,"22,776","1,832"
Enabled,PCM_Depilatories_24-25, --,GBP,30,Daily,Eligible (Learning),bidding strategy learning; some ads disapproved, --,Display,120.07,"103,398","2,568"
